1,38,53
2,49,190
3,89,345
4,65,46
5,42,345
6,11,268
7,61,340
8,54,149
9,9,111
10,99,436
11,79,199
12,93,34
13,87,33
14,35,220
15,41,277
16,71,167
17,15,466
18,59,82
19,22,434
20,74,469
21,10,147
22,61,483
23,92,5
24,32,101
25,15,125
26,77,310
27,62,87
28,40,330
29,73,93
30,96,308
31,17,378
32,79,337
33,2,421
34,18,456
35,43,412
36,90,267
37,27,199
38,73,98
39,29,40
40,98,261
41,46,480
42,14,116
43,29,345
44,96,232
45,73,165
46,23,90
47,31,420
48,71,419
49,96,41
50,10,445
51,98,162
52,74,238
53,90,276
54,63,358
55,43,462
56,89,294
57,80,8
58,81,76
59,21,139
60,80,382
61,85,377
62,4,264
63,64,65
64,24,19
65,58,397
66,39,302
67,18,488
68,41,483
69,33,499
70,39,359
71,5,57
72,87,174
73,72,178
74,43,473
75,20,373
76,85,497
77,25,5
78,14,76
79,35,226
80,55,493
81,5,250
82,54,242
83,61,92
84,28,258
85,15,170
86,21,431
87,88,178
88,43,115
89,26,407
90,93,226
91,64,273
92,75,147
93,36,370
94,95,415
95,80,324
96,37,364
97,39,165
98,52,358
99,59,93
100,66,467
