1,48,76,Fix San,58,53
2,98,99,Latlux,71,190
3,1,87,Aerified,52,345
4,16,46,Kanlam,15,46
5,15,10,Cardify,82,345
6,86,13,Overhold,3,268
7,50,78,Fixflex,52,340
8,64,47,Transcof,4,149
9,19,41,Quo Lux,97,111
10,80,46,Fintone,89,436
11,4,86,Job,82,199
12,80,54,Zamit,2,34
13,86,31,Konklux,91,33
14,15,11,Cookley,37,220
15,14,72,Bitchip,79,277
16,99,97,Voyatouch,58,167
17,91,25,Bitchip,35,466
18,63,62,Y-Solowarm,93,82
19,23,28,Asoka,23,434
20,73,53,Solarbreeze,68,469
21,99,40,Bigtax,86,147
22,14,87,Redhold,51,483
23,27,10,Y-Solowarm,64,5
24,41,67,Tin,68,101
25,6,87,Voyatouch,92,125
26,51,41,Stronghold,66,310
27,45,77,Home Ing,83,87
28,85,66,Job,53,330
29,8,88,Zoolab,51,93
30,82,3,Stringtough,83,308
31,9,81,Gembucket,92,378
32,41,27,Tresom,34,337
33,4,75,Alphazap,35,421
34,69,60,Tin,23,456
35,88,4,Tampflex,27,412
36,23,48,Quo Lux,79,267
37,42,22,Cardguard,33,199
38,84,56,Fintone,63,98
39,85,8,Zontrax,46,40
40,54,27,Voltsillam,25,261
41,41,62,Subin,93,480
42,8,21,Lotlux,91,116
43,94,11,Voyatouch,78,345
44,20,32,Rank,13,232
45,47,4,Bytecard,88,165
46,57,48,Ventosanzap,43,90
47,41,18,Span,13,420
48,17,51,Tampflex,48,419
49,25,45,Cardify,81,41
50,66,16,Daltfresh,74,445
51,70,6,Stim,73,162
52,16,16,Bigtax,46,238
53,51,97,Bitchip,94,276
54,95,95,Overhold,62,358
55,5,69,Andalax,48,462
56,94,83,Sonsing,43,294
57,62,90,Duobam,94,8
58,55,50,Greenlam,24,76
59,93,31,Stronghold,31,139
60,71,80,Aerified,10,382
61,8,75,Y-Solowarm,8,377
62,2,48,Tresom,97,264
63,39,40,Namfix,24,65
64,72,80,Zoolab,70,19
65,16,94,Bitwolf,34,397
66,93,8,Bamity,14,302
67,12,98,Matsoft,52,488
68,74,83,Duobam,78,483
69,80,91,Voyatouch,77,499
70,91,66,Stronghold,26,359
71,99,11,Bytecard,47,57
72,32,11,Bytecard,42,174
73,91,86,Home Ing,36,178
74,7,43,Veribet,4,473
75,51,47,Sub-Ex,91,373
76,23,6,Greenlam,93,497
77,77,72,Sub-Ex,25,5
78,56,29,Fintone,9,76
79,28,29,Daltfresh,5,226
80,37,40,Sonair,97,493
81,71,4,Cardify,55,250
82,29,41,Opela,92,242
83,32,17,Gembucket,60,92
84,3,93,Rank,18,258
85,16,12,Daltfresh,2,170
86,14,23,Tampflex,42,431
87,42,66,Tres-Zap,85,178
88,56,100,Bitchip,94,115
89,45,38,Solarbreeze,64,407
90,64,5,Duobam,82,226
91,46,58,Holdlamis,31,273
92,82,43,Zathin,62,147
93,64,14,Konklab,57,370
94,44,7,Zoolab,76,415
95,2,78,Zoolab,95,324
96,32,10,Konklab,63,364
97,11,99,Vagram,50,165
98,41,24,Zaam-Dox,8,358
99,10,35,Voltsillam,22,93
100,21,47,Bytecard,11,467
