1,15,275,4714512,8383003,3474847,Antihypertensive drugs,Horror,Amityville 1992: It's About Time,1/2/2010
2,25,168,3861658,640094,5683278,Other specified eating disorder,Drama,Babysitters The,11/6/2006
3,13,362,5880877,254173,546604,Conduct disorder unspecified,Comedy,North Beach,9/1/2004
4,34,401,2851338,9781564,4952461,Suprvsn of high risk preg due to social problems unsp tri,Comedy,Starting Over,4/21/2012
5,97,398,5930613,7494981,5384067,Disorder of ligament shoulder,Comedy,Repossessed,4/17/2005
6,25,433,8038821,7407923,7330549,Unspecified sprain of left hip sequela,Action,Ishaqzaade,8/4/2003
7,58,355,4738172,2279822,9749011,Unsp open wound of pharynx and cervical esophagus init,Western,The Vanishing American,12/12/2014
8,10,98,7231366,1603229,8132083,Unsp fracture of left lower leg init for opn fx type I/2,Comedy,Clockwatchers,12/30/2017
9,74,412,7943819,8589616,5397411,Dvtrcli of sm int w perforation and abscess w bleeding,Comedy,American Virgin,8/7/2002
10,25,494,6514870,8257108,8490629,Unspecified open wound of left wrist initial encounter,Documentary,Coelacanth: The Fish That Time Forgot,3/16/2009
11,42,56,8852871,6950180,2082228,Essential (primary) hypertension,Drama,Bells of St. Mary's The,12/27/2017
12,90,124,9867269,1417778,5211920,Oth physeal fx lower end of r femur subs for fx w malunion,Documentary,People vs. George Lucas The,11/27/2002
13,29,156,2327268,958082,7813738,Injury of muscle and tendon of head,Drama,Christmas in Conway,9/4/2006
14,3,275,1533080,6895930,3261665,Unspecified blepharoconjunctivitis right eye,Comedy,Maid to Order,2/11/2011
15,27,58,962127,5669740,4045320,Oth incomplete lesion at T2-T6 sequela,Comedy,Goodbye to All That,6/13/2002
16,60,489,7233423,2590117,4098584,Other secondary chronic gout left knee,Drama,Legend of 1900 The (a.k.a. The Legend of the Pianist on the Ocean) (Leggenda del pianista sull'oceano),7/29/2007
17,97,331,4231358,9316021,5291999,Maternal care for abnlt of vulva and perineum second tri,Action,Snake-Crane Secret (She hao dan xin zhen jiu zhou),12/15/2016
18,7,338,9855381,6988942,5563496,Displacement of surgically created arteriovenous shunt subs,Drama,Annapolis,1/4/2008
19,96,43,3940366,6400718,4618952,Fracture of oth skull and facial bones left side 7thD,Comedy,Sherlock Jr.,6/3/2009
20,20,25,3825606,2450318,232005,Unspecified subluxation of right hip sequela,Comedy,Return of the Living Dead: Necropolis,9/2/2019
21,26,355,4632894,4123410,8525446,Poisoning by calcium-channel blockers accidental init,Comedy,D.C.H. (Dil Chahta Hai),10/29/2009
22,17,160,4216576,3401553,8518797,Conjunctival deposits right eye,Horror,H6: Diario de un asesino,3/7/2016
23,93,182,7921265,2726526,6045737,Nondisplaced longitudinal fracture of unsp patella sequela,Comedy,Mute Witness,11/9/2017
24,56,212,9651824,3139047,9044543,Nondisplaced apophyseal fracture of right femur,Crime,Hour of the Pig The,2/9/2018
25,13,366,4472417,171502,4126326,Crushing injury of left thigh,Drama,Coquette,10/4/2013
26,82,348,2875720,8366579,8190639,Schistosomiasis due to Schistosoma mansoni,Comedy,Nicholas on Holiday,8/24/2014
27,13,47,7534354,1097717,8791216,Other specified mononeuropathies of unspecified lower limb,Comedy,Our Little Girl,3/17/2020
28,26,348,8871594,4169152,4671485,Open bite of left little finger w/o damage to nail init,Comedy,Charlie Chan in Paris,8/18/2003
29,49,400,8979223,5039187,7246881,Ulceration of vulva in diseases classified elsewhere,Drama,Perifery (Härmä),4/13/2003
30,14,448,962116,2942285,4034458,Insect bite (nonvenomous) of anus,Crime,Better Tomorrow A (Ying hung boon sik),8/21/2013
31,26,282,6050197,1924416,1275103,Complications of reattached (part of) left upper extremity,Drama,Misérables Les,10/28/2010
32,73,183,2072402,9302987,3416064,Undescended testicle unspecified,Drama,Moment to Remember A (Nae meorisokui jiwoogae),6/18/2013
33,69,274,9721627,2040879,2115763,Oth comp of spinal and epidur anesth during preg first tri,Comedy,National Lampoon's Van Wilder,7/1/2001
34,29,363,2792008,4539482,4802393,Assault by blunt object,Children,Ernest Rides Again,2/12/2004
35,22,121,9029965,8602645,3361656,Malocclusion Angle's class I,Comedy,Left-Hand Side of the Fridge The (Moitié gauche du frigo La),6/10/2018
36,49,178,932294,6160298,5856634,Brucellosis due to Brucella canis,Drama,Rigoletto,4/11/2006
37,27,185,8178489,7466918,3713677,Osteonecrosis in diseases classified elsewhere,Drama,Running,7/16/2002
38,84,363,2429637,9648076,7066525,External constriction of lower back and pelvis,Comedy,Vince Vaughn's Wild West Comedy Show: 30 Days & 30 Nights - Hollywood to the Heartland,2/16/2018
39,28,182,8065512,8871440,1304274,Unsp inj long flexor musc/fasc/tend thmb at wrs/hnd lv init,Drama,American Gun,10/1/2008
40,31,258,8270147,4724963,3728519,Milt op involving unsp effect of nuclear weapon civilian,Action,Second in Command,8/31/2004
41,4,2,1073786,5102370,6792874,Pathological fracture left toe(s) subs for fx w routn heal,Comedy,Kiss for Corliss A (Almost a Bride),10/27/2017
42,83,322,5241971,4570924,4687473,Adverse effect of hormones and synthetic substitutes subs,Drama,August,11/25/2016
43,19,331,3709316,2955853,2204371,Squamous cell carcinoma of skin of eyelid including canthus,Action,Rage,3/18/2014
44,23,31,7506794,1565572,5044343,Oth intartic fx low end l rad 7thJ,Drama,Provocateur (Prowokator),12/26/2012
45,49,169,7055399,3494770,1781993,Corros 2nd deg mul sites of shldr/up lmb except wrs/hnd,Drama,Love (Szerelem),3/12/2004
46,22,94,5192223,4309583,7546652,Open bite of abd wall l upr q w penet perit cav sequela,Comedy,Belle of the Nineties,7/13/2013
47,29,425,2580015,4265516,7966144,Hypoplasia of testis and scrotum,Crime,Dance with a Stranger,6/20/2013
48,42,407,5122048,2649763,9256083,Toxic effect of mycotoxin food contaminants assault subs,Horror,Pin...,10/5/2014
49,91,283,9149173,4324413,7327095,Poisoning by other general anesthetics assault subs encntr,Drama,Sir Arne's Treasure,1/2/2005
50,49,159,2665688,9337124,8056357,Bursitis left hand,Action,Beautiful Boxer,4/27/2014
51,68,383,311602,1029438,8996925,Subacute and chronic vulvitis,Horror,Clonus Horror The,4/15/2010
52,40,121,3651597,6010665,9025530,Other effects of high altitude sequela,Action,New Wave A,9/18/2004
53,61,270,2522434,477776,7657381,Lacerat musc/fasc/tend at thigh level left thigh sequela,Horror,Son of Dracula,1/1/2001
54,50,19,6837789,297249,6735677,Adverse effect of anticoag antag vit K and oth coag subs,Crime,Romeo Is Bleeding,1/5/2018
55,66,102,8752132,3507869,9063991,Unsp injury of msl/tnd of back wall of thorax subs,Drama,Loss of Sexual Innocence The,2/25/2017
56,71,261,7730405,7087765,8024912,Deformity of right orbit due to bone disease,Horror,Haunt,10/16/2001
57,87,101,292807,1621706,1772902,Low grade intrepith lesion cyto smr crvx (LGSIL),Sci-Fi,The First Men in the Moon,5/20/2002
58,17,237,1464724,1850469,9060432,Other superficial bite of right ring finger init encntr,Comedy,Breaking Away,9/17/2014
59,12,256,1414103,2008059,3881562,Burn of third degree of right wrist subsequent encounter,Drama,Drunken Angel (Yoidore tenshi),7/13/2010
60,65,201,9209273,9825719,9434132,Disp fx of med condyle of r tibia 7thJ,Drama,Outsiders (Ceddo),2/3/2018
61,85,18,7717665,5615311,6357816,Unspecified sprain of unspecified great toe init encntr,Comedy,Nico and Dani (Krámpack),12/25/2009
62,12,258,7636477,3380509,9806020,Pedl cyc driver inj in clsn w nonmtr vehicle nontraf subs,Action,Mesrine: Public Enemy #1 (L'ennemi public n°1),9/8/2005
63,98,199,6805912,8729885,8114790,Benign neoplasm of short bones of upper limb,Comedy,Basket Case,8/6/2015
64,36,88,5730286,971233,3350773,Pathological fracture unspecified finger(s),Drama,Blind Shaft (Mang jing),2/8/2010
65,85,462,7927957,33393,834377,Type 2 diabetes mellitus with other skin complications,Comedy,The Admirable Crichton,6/26/2007
66,31,432,3141796,7010516,3929318,Poisoning by alpha-adrenocpt antagonists self-harm sequela,Drama,China Syndrome The,11/2/2005
67,79,111,8500540,5159657,8577331,Oligohydramnios first trimester fetus 3,Action,Casino Royale,9/16/2009
68,63,252,3043333,912265,9319266,Other streptococcal arthritis hip,Drama,Light Gradient,6/30/2006
